shipment_id,order_id,shipment_date,current_status,estimated_arrival,shipping_address
62,684,2022-12-09 00:12:22,Delivered,2023-09-29 15:17:26,"05208 Jason Springs Suite 945
Sandraville, IL 11819"
63,653,2023-08-22 13:53:19,Shipped,2023-10-04 07:04:33,"205 Kevin Groves
Sherryport, VT 60796"
64,1791,2022-10-24 20:41:43,Shipped,2023-09-30 14:37:24,"5475 Brown Forest Suite 650
Port Samuelhaven, FL 23711"
65,3607,2023-03-07 17:52:26,Delivered,2023-09-28 13:47:46,"893 Robinson Junction Suite 196
Lake Kimberlystad, HI 22606"
66,4304,2023-08-04 16:03:18,Delivered,2023-10-02 01:42:09,"85296 Santiago Course Apt. 833
Port Jessica, MD 35969"
67,4311,2023-08-09 08:14:31,Delivered,2023-09-27 18:11:05,"469 Mandy Summit
Mauricefort, IL 38792"
68,2380,2023-04-10 00:19:55,Delivered,2023-09-29 00:03:00,"USNS Moore
FPO AA 16554"
69,4240,2022-12-14 09:57:19,Delivered,2023-09-28 20:02:03,"590 Martinez Field Apt. 676
Port Albertstad, FL 22958"
70,2010,2023-02-18 21:43:16,Delivered,2023-10-01 20:15:07,"857 Williams Row
Wardside, WY 78818"
71,4710,2023-06-21 05:18:47,Delivered,2023-10-04 01:11:17,"08436 Cabrera Turnpike Apt. 481
South Chad, ID 56010"
72,1733,2023-01-03 18:03:48,In Transit,2023-09-28 01:50:14,"47847 Jeffrey Burg Suite 195
Alexanderport, MS 47457"
73,4203,2022-10-17 11:29:01,In Transit,2023-09-30 21:44:29,"1975 Page Stravenue
Shannonbury, DC 08251"
74,4641,2023-03-19 02:50:37,In Transit,2023-09-27 15:43:16,"06102 Burton Walk Apt. 027
West William, CO 71734"
75,2464,2022-10-24 22:01:26,Delivered,2023-10-03 17:19:52,"24330 Morton Cliff
Garyfort, OH 88853"
76,4431,2023-05-27 12:18:01,In Transit,2023-10-02 22:16:34,"7913 Christopher Mill
Lake Brian, AK 97278"
77,2312,2023-08-05 20:41:25,Delivered,2023-10-03 03:06:02,"290 Carr Isle Suite 600
Bethanytown, VT 37798"
78,4619,2023-06-17 23:17:00,In Transit,2023-09-30 19:35:25,"29159 Levine Extension
Calhounstad, MN 58207"
79,3628,2023-06-08 14:37:20,Shipped,2023-09-28 01:37:45,"5165 Brian Place
Mckeeshire, PW 74739"
80,3487,2022-10-31 16:53:16,In Transit,2023-10-04 12:25:29,"984 Joanna Fall
Mcdonaldmouth, AZ 19263"
81,728,2023-02-18 11:31:07,Shipped,2023-09-29 20:10:46,"99146 Courtney River
West Michael, FL 43755"
82,3803,2023-09-21 05:45:34,Shipped,2023-09-30 09:56:23,"PSC 4809, Box 4901
APO AP 16182"
83,1155,2023-03-23 18:02:16,Delivered,2023-10-02 06:44:47,"485 Amber Trace
Bruceview, HI 72294"
84,2054,2022-11-04 00:53:56,Delivered,2023-09-28 11:29:21,"083 Rivera Gateway
Evansland, NC 64583"
85,3256,2023-08-14 18:34:48,Shipped,2023-09-30 19:52:04,"3164 Bolton Course
West Thomasside, ND 57663"
86,4127,2023-04-14 21:22:46,In Transit,2023-09-27 20:40:41,"7014 Stacey Lakes
Daltonshire, CT 98818"
87,530,2023-04-21 22:44:42,Delivered,2023-09-30 17:34:07,"178 Little Unions
West Kylechester, KS 09003"
88,2950,2022-11-02 07:24:45,Delivered,2023-10-01 03:22:27,"USNV Meadows
FPO AE 09264"
89,25,2023-06-01 04:01:53,Delivered,2023-09-29 07:22:08,"6527 Jackson Throughway
North Thomas, CA 81715"
90,4827,2023-02-17 10:53:11,Shipped,2023-09-30 16:52:08,"95694 Beck Fords Apt. 221
Port Michael, CO 74948"
91,1823,2023-06-07 01:59:47,In Transit,2023-09-29 01:14:00,"851 Roger Gateway Suite 102
Mariaton, SC 47114"
92,1572,2022-12-12 18:12:47,Delivered,2023-09-27 23:14:27,"97130 Jason Manor
Lake Tammybury, MP 96265"
93,1532,2023-01-13 09:32:49,Delivered,2023-10-03 14:50:22,"556 Taylor Junction Apt. 497
Andersonberg, CA 72878"
94,543,2023-09-10 12:15:47,In Transit,2023-10-03 03:55:53,"55758 Martin Coves Suite 158
Patelstad, MI 93155"
95,2519,2023-09-24 06:30:46,Shipped,2023-10-02 05:30:37,"412 Rodriguez Pike Apt. 397
Vanessaton, SC 75931"
96,2873,2023-01-01 02:02:12,In Transit,2023-09-30 05:58:28,"76709 Kyle Streets
West Christine, FL 70806"
97,1874,2022-12-31 12:50:40,Delivered,2023-10-04 09:10:41,"43964 Maxwell Manor Apt. 432
Port Johnchester, AK 13567"
98,4288,2022-12-27 21:16:15,Delivered,2023-10-01 05:06:45,"06642 Morgan Motorway Suite 450
Dawntown, GA 10652"
99,3321,2022-11-03 21:54:24,Shipped,2023-10-01 07:55:56,"660 Matthew Junction Suite 812
New Gregory, OR 88363"
100,1977,2023-08-30 18:50:33,Delivered,2023-10-04 07:23:50,"387 Gutierrez Rapids
Parrishfurt, SD 62453"
101,1294,2023-01-12 07:42:36,Delivered,2023-10-01 03:45:43,"577 Taylor Rest Suite 499
Port Virginia, NH 24349"
102,4610,2023-03-13 08:15:17,In Transit,2023-09-28 18:34:15,"692 Debra Street
East Mackenzieshire, AK 36963"
103,1923,2022-11-01 18:43:17,Delivered,2023-09-27 22:53:28,"95916 Shelton Throughway Apt. 721
West Brandymouth, NJ 66000"
104,2352,2023-03-01 10:16:46,Shipped,2023-10-03 05:12:05,"1105 Diaz Meadows
North Aaronport, WY 40658"
105,4968,2022-10-20 17:40:16,In Transit,2023-09-27 22:36:15,"744 Andrews Tunnel
Joelstad, CA 18222"
106,2843,2022-12-01 23:56:03,In Transit,2023-10-03 00:52:02,"5123 Monica Grove Apt. 133
Lake Michael, GU 63800"
107,3669,2023-03-07 03:08:35,In Transit,2023-09-27 17:40:39,"79340 Black Run Suite 176
East Alexa, MP 38940"
108,120,2022-10-08 22:42:09,In Transit,2023-10-04 09:14:41,"42759 Ryan Oval
North Joseph, MN 95862"
109,2434,2023-04-14 23:33:16,Delivered,2023-09-29 23:18:18,"PSC 6524, Box 6366
APO AE 45286"
110,1451,2023-08-22 01:30:57,Shipped,2023-10-02 12:29:31,"1287 Webster Corners Suite 215
Lake Courtneyside, CO 29786"
111,816,2023-08-20 04:32:58,In Transit,2023-10-03 22:11:49,"7123 Sweeney Dale Apt. 122
Port Collinbury, AL 89628"
112,2396,2022-11-28 06:55:48,Shipped,2023-10-01 00:58:51,"9344 Steele Garden Apt. 104
Jordantown, SC 03566"
113,2061,2023-02-21 04:18:21,In Transit,2023-09-30 00:32:19,"26930 Taylor Summit Suite 343
Lake Tyler, NE 44826"
114,3293,2023-03-03 19:30:14,Delivered,2023-09-28 08:50:40,"837 Vicki Drive
Bradshawport, CA 05803"
115,4891,2023-06-17 13:15:02,Delivered,2023-09-29 22:58:47,"735 Nicole Mills Suite 687
New Alfredton, MD 14078"
116,1772,2022-12-29 03:42:32,Delivered,2023-10-02 13:46:10,"07732 Baker Camp
Lake Kimberlyville, VA 10550"
117,1114,2023-01-30 09:04:44,Delivered,2023-09-27 23:59:00,"35552 Jessica Motorway Suite 108
East Claudia, CT 40556"
118,1903,2023-09-03 16:19:58,Shipped,2023-09-29 15:47:43,"935 Smith Pines
West Ericstad, NY 05047"
119,500,2022-10-09 08:56:38,Shipped,2023-10-01 15:06:12,"81314 Candace Lights Apt. 211
North Andrewstad, MH 65373"
120,4503,2023-03-04 11:52:04,Shipped,2023-09-29 12:06:28,"252 Yang Freeway Apt. 299
South Mary, MP 70477"
121,4990,2023-02-08 18:05:55,Shipped,2023-10-02 17:22:42,"8378 Jones Viaduct Suite 633
East Ambermouth, NY 12495"
122,3236,2023-04-23 10:27:10,In Transit,2023-09-29 08:58:00,"52809 Hayes Camp
Griffinmouth, NV 88320"
123,2995,2023-05-02 14:27:58,In Transit,2023-10-01 21:10:29,"43982 Solomon Pines Apt. 861
Stevenville, TX 48443"
124,4770,2023-06-25 00:12:32,In Transit,2023-09-28 21:18:34,"40997 Ashley Isle
Destinyfort, NJ 04731"
125,1908,2023-05-14 00:24:07,Delivered,2023-09-30 16:21:49,"42076 William Overpass Suite 171
New Eric, GA 09053"
126,1314,2022-09-29 23:01:12,Delivered,2023-10-01 11:19:38,"Unit 4253 Box 1069
DPO AA 97793"
127,3149,2022-12-26 15:05:38,Delivered,2023-10-02 18:24:47,"75003 Kendra Tunnel Suite 187
Eatonland, PW 24874"
128,262,2023-08-10 16:11:08,Shipped,2023-09-29 16:33:26,"99456 Mitchell Mews Apt. 857
Lake Michaelbury, VT 38215"
129,2278,2023-01-26 03:10:10,Delivered,2023-09-29 16:50:07,"10569 Holmes Fields
Luceroport, OH 00708"
130,1711,2023-06-28 23:05:36,Delivered,2023-10-03 15:19:32,"288 Brandon Forge
Smithland, KY 69276"
131,2528,2022-12-09 21:10:21,In Transit,2023-09-28 12:57:55,"86724 Amy Alley
North Mary, VI 05830"
132,684,2023-06-08 00:57:05,Shipped,2023-10-01 03:17:39,"47511 Justin Streets
Port Donaldton, AZ 50749"
133,3347,2023-02-18 13:00:26,Shipped,2023-10-01 04:24:33,"638 Robertson Junctions
East Darrell, IL 83196"
134,673,2023-01-23 01:21:01,Shipped,2023-09-30 11:43:55,"00072 Jasmine Tunnel
Jacobchester, MH 80805"
135,4253,2023-03-19 03:43:32,Delivered,2023-09-29 05:24:50,"248 Freeman Stream
East Allison, AK 82445"
136,4717,2022-10-17 01:52:22,Shipped,2023-10-02 07:12:11,"05832 Jade Branch
Kathrynborough, PW 15919"
137,2835,2023-04-06 02:48:06,Shipped,2023-10-01 15:05:07,"Unit 9529 Box 8830
DPO AA 40594"
138,2092,2023-01-14 18:45:14,Shipped,2023-10-03 22:31:13,"7910 Rivers Passage Suite 282
West Jacobburgh, WI 48265"
139,4435,2023-05-16 22:36:09,Delivered,2023-09-28 10:30:53,"04084 Moon Roads Apt. 674
Rileyborough, MI 75244"
140,4977,2022-10-15 16:54:43,Shipped,2023-10-01 13:00:42,"806 Phillip Turnpike
East Elizabeth, RI 02724"
141,3538,2023-05-04 06:55:14,Delivered,2023-10-02 11:30:31,"105 Jonathan Knoll
Harrishaven, TN 03970"
142,124,2023-05-27 20:27:11,Delivered,2023-10-02 15:57:46,"3195 Adkins Gardens Apt. 368
Walshview, NC 17132"
143,3084,2022-12-16 14:09:07,Shipped,2023-10-03 01:16:26,"825 Tiffany Mills Apt. 055
East Robert, KY 68817"
144,2729,2023-01-30 05:09:11,In Transit,2023-10-04 07:16:34,"USS Logan
FPO AE 13051"
145,1866,2023-06-28 10:54:15,Shipped,2023-10-02 07:07:07,"31438 Montoya Grove
New Joshua, DE 42548"
146,4056,2023-01-06 16:35:20,Shipped,2023-10-03 05:48:00,"0803 Walsh Groves
Lake Kimberlyhaven, WI 26808"
147,1984,2022-11-01 01:35:30,Shipped,2023-10-03 06:00:00,"89936 Knight Divide
Schultzside, IA 17551"
148,4996,2023-09-08 17:50:31,Shipped,2023-10-01 07:07:39,"5358 James Plain
Jonesland, GA 17488"
149,3579,2023-01-23 10:27:29,Delivered,2023-10-02 19:30:43,"5361 Ramirez Unions
East Kellimouth, VI 82917"
150,3045,2023-04-11 15:03:13,In Transit,2023-09-29 22:54:01,"PSC 5009, Box 3765
APO AP 30791"
151,2607,2023-05-11 07:33:12,In Transit,2023-10-02 01:46:40,"4487 Cherry Street
East Melissa, SD 55658"
152,4526,2023-01-17 23:47:32,Delivered,2023-10-02 03:08:58,"24786 Watson Forge Apt. 720
West Joseside, MP 87518"
153,1654,2023-03-26 04:48:40,Shipped,2023-10-04 06:55:46,"USNV Wilkinson
FPO AP 79238"
154,4021,2023-05-19 15:28:55,Shipped,2023-09-30 09:53:26,"12375 Lewis Vista Suite 148
Lucasville, HI 13671"
155,4904,2022-11-12 04:30:09,In Transit,2023-09-29 04:23:13,"USNV Smith
FPO AP 42258"
156,1587,2023-07-19 10:09:21,In Transit,2023-09-28 18:27:15,"84036 Clifford Road
South Brianfurt, OR 53236"
157,1673,2023-01-30 23:28:56,In Transit,2023-09-28 08:54:15,"97512 Vazquez Meadow Suite 685
Youngberg, AS 55657"
158,4315,2023-02-11 06:31:40,In Transit,2023-10-02 01:29:55,"1493 Tucker Manors Apt. 549
Angelview, AR 56806"
159,278,2023-01-20 15:47:48,Shipped,2023-10-04 01:14:34,"598 Graham Island Suite 536
West Victoria, TN 40508"
160,3527,2023-05-30 23:32:41,In Transit,2023-10-03 14:38:35,"USCGC Chan
FPO AP 93566"
161,4691,2022-10-24 06:53:19,Shipped,2023-09-28 09:35:33,"08676 Lee Run
Port Amyfort, GU 19459"
162,209,2023-07-14 16:25:57,Shipped,2023-09-29 16:02:10,"1374 Boyd Walk Suite 220
New Shannonville, VI 83560"
163,4946,2022-12-29 04:34:03,Shipped,2023-09-29 15:02:48,"8556 Leah Locks
Lake Jenniferhaven, TN 54544"
164,625,2023-04-22 01:51:39,Shipped,2023-09-28 13:55:44,"1037 Sandoval Crossing
Davisshire, MN 68481"
165,445,2023-01-28 07:51:22,Delivered,2023-10-03 11:05:07,"2439 Fuentes Mountain
Dixonbury, IN 74823"
166,1930,2023-05-26 05:01:18,Shipped,2023-09-28 07:45:56,"3708 Adams Harbors Suite 123
Jacksonview, CA 80734"
167,4526,2023-03-10 20:38:35,Delivered,2023-10-02 05:28:01,"4309 French Summit Apt. 478
Port Adamburgh, CA 40632"
168,109,2023-02-15 03:11:17,In Transit,2023-09-29 16:30:10,"Unit 7733 Box 3428
DPO AP 37221"
169,4028,2023-05-30 10:09:24,In Transit,2023-10-04 12:26:56,"3119 Anthony Brook
Lake Juan, NH 18884"
170,996,2023-05-18 22:54:24,In Transit,2023-09-28 14:26:55,"51717 Ritter Knolls Suite 996
Grimesmouth, UT 10803"
171,117,2023-01-03 01:58:11,In Transit,2023-10-01 07:44:03,"666 Ethan Plain Apt. 753
Gilbertside, OK 57674"
172,1625,2023-07-04 19:47:35,Shipped,2023-09-28 20:16:51,"743 Kristen Green
Lake Susanchester, MP 08719"
173,159,2023-01-29 10:17:07,Delivered,2023-10-01 20:38:21,"0615 Morgan Stravenue Suite 108
Fishermouth, FM 09338"
174,4311,2023-07-13 09:35:44,Shipped,2023-10-02 11:14:04,"Unit 4618 Box 9263
DPO AA 77707"
175,1410,2023-08-02 10:08:32,Delivered,2023-10-03 03:37:41,"Unit 6558 Box 2744
DPO AA 13882"
176,4171,2023-03-17 12:38:53,In Transit,2023-10-02 23:31:08,"8999 Rivers Pike
Joestad, AK 52233"
177,4727,2023-08-30 01:13:03,In Transit,2023-09-28 13:56:45,"Unit 5285 Box 6765
DPO AE 65038"
178,1719,2023-04-02 18:10:00,Delivered,2023-09-29 16:41:23,"347 Jessica Crossroad
Port Shelbyberg, AS 26249"
179,3704,2023-05-16 20:07:53,Shipped,2023-09-29 05:27:21,"8360 Harris Drive
Port Lucas, PW 56497"
180,1875,2023-02-08 01:48:06,Delivered,2023-09-29 14:08:39,"17045 Gutierrez Rest Apt. 589
Patrickville, GU 70366"
181,2738,2022-11-28 00:46:06,Shipped,2023-10-01 03:29:37,"69882 Monroe Station
Mcculloughstad, CA 41168"
182,1650,2023-05-31 21:15:56,In Transit,2023-10-02 06:20:03,"497 Amber Hollow
Cookfurt, IA 99192"
183,2925,2023-05-12 12:38:38,Delivered,2023-09-27 22:49:04,"09370 Baxter Green
Smithshire, ME 11960"
184,2038,2022-12-27 23:58:54,Shipped,2023-09-27 23:47:24,"994 Hudson Mountain
Hollyhaven, LA 70927"
185,1106,2023-03-23 04:10:42,In Transit,2023-10-03 00:20:28,"150 Barnes Circles
Lake Garyview, CA 60350"
186,2278,2023-02-06 10:30:28,Shipped,2023-09-29 08:44:45,"4907 Nicole Mountain
Vanessafurt, VI 49993"
187,795,2022-11-02 12:58:03,Shipped,2023-09-28 19:09:00,"Unit 7396 Box 9537
DPO AA 27887"
188,2984,2023-09-09 09:36:20,In Transit,2023-10-01 18:17:20,"USS Nolan
FPO AA 20434"
189,3184,2023-05-01 22:48:22,Delivered,2023-09-29 19:08:18,"USS Higgins
FPO AE 27825"
190,3828,2022-10-12 13:49:14,Delivered,2023-09-28 09:10:04,"8100 Robles Trace
New Jacquelinehaven, CA 15605"
191,1979,2023-03-12 21:35:00,Shipped,2023-10-02 18:39:21,"18832 Joe Plaza Apt. 127
Amyborough, MT 50516"
192,3810,2023-09-22 00:48:10,Delivered,2023-09-27 19:53:57,"05087 Reeves Curve Suite 471
Benjaminmouth, CA 33158"
193,2822,2023-02-06 15:51:45,In Transit,2023-09-28 20:10:43,"62042 Juan Island
Craigtown, MI 88631"
194,32,2023-02-19 13:16:01,Shipped,2023-09-29 09:11:59,"8165 Joy Branch
Bradleyville, AR 79403"
195,4849,2023-06-21 09:26:41,Shipped,2023-09-28 15:48:10,"159 Kristen Centers
Feliciastad, MH 33366"
196,2538,2023-01-19 16:15:05,Shipped,2023-09-27 17:47:07,"77462 Oneill Square Suite 961
Nicholasborough, WV 34431"
197,130,2023-08-10 23:40:38,Shipped,2023-09-28 20:52:01,"Unit 7830 Box 0412
DPO AE 72304"
198,4852,2022-10-24 19:33:03,Delivered,2023-10-03 05:00:38,"7346 Fisher Shoals Suite 509
Lake Richardburgh, MO 15398"
199,2594,2023-04-26 10:13:50,Shipped,2023-10-03 07:40:40,"787 William Route Suite 526
South Lindatown, OH 86779"
200,2496,2023-08-21 06:41:35,In Transit,2023-10-01 13:14:58,"065 Stephanie Junction
Lewishaven, NV 61296"
201,4386,2023-04-27 08:26:01,Delivered,2023-09-30 03:19:50,"53967 Reed Ports
Port Eric, WI 81821"
202,3366,2022-12-31 19:37:09,Delivered,2023-09-28 20:37:53,"USNV Jenkins
FPO AP 95993"
203,1309,2022-11-11 22:46:26,Delivered,2023-10-03 03:14:07,"55091 Hardin Road Apt. 209
Benjaminmouth, MD 04402"
204,725,2022-11-14 20:54:16,Delivered,2023-09-28 23:59:25,"USNV Reed
FPO AA 02114"
205,4461,2023-05-03 07:39:02,Shipped,2023-09-29 01:26:49,"6909 Alex Branch Apt. 465
Brownland, AS 79846"
206,2702,2022-10-30 14:54:41,In Transit,2023-09-29 00:08:05,"3957 Blevins Gardens Suite 935
Emilymouth, GU 99509"
207,714,2022-12-19 20:42:33,Delivered,2023-09-30 08:13:44,"334 Craig Inlet Apt. 629
Kimtown, NH 69503"
208,1932,2023-03-15 04:40:18,Delivered,2023-10-03 00:18:18,"2490 Farrell Forks
Carolland, MO 36671"
209,145,2022-10-21 06:46:25,In Transit,2023-09-28 19:33:29,"848 Henry Lodge
South Kiara, WA 09701"
210,1604,2023-05-06 04:48:29,In Transit,2023-09-29 23:42:01,"83853 Ashley Ridge Apt. 096
South Timothy, CO 48818"
211,1577,2023-06-25 09:19:55,In Transit,2023-09-29 23:55:52,"67135 Meredith Courts Apt. 233
East Tracie, PA 41947"
212,2062,2023-03-09 10:12:21,Delivered,2023-09-28 11:30:26,"96030 Christopher Locks Suite 193
Port James, HI 46895"
213,674,2023-06-06 15:43:39,Delivered,2023-10-02 20:25:13,"1530 Frost Forks
East Erikafurt, MH 21687"
214,4759,2023-03-18 06:52:37,Delivered,2023-10-04 09:24:22,"31756 Rivera Ports Suite 076
Chapmanshire, SC 52868"
215,4419,2022-11-24 09:46:59,In Transit,2023-09-30 12:34:25,"4856 Howard Walks
Lake Karen, ID 95015"
216,1559,2023-04-19 00:05:30,Delivered,2023-09-28 03:27:26,"USCGC Long
FPO AA 29544"
217,1761,2023-03-27 06:24:09,Delivered,2023-10-04 04:02:29,"556 Stevens Burgs Suite 909
New Gabrielburgh, VT 70210"
218,4983,2023-08-18 09:57:53,In Transit,2023-09-28 16:05:12,"981 Vincent View Apt. 665
Tylerchester, WY 06982"
219,2558,2023-09-12 22:11:19,In Transit,2023-09-28 19:56:18,"9091 Tara Parkway
East Ashleymouth, MD 77221"
220,4256,2023-09-05 18:39:17,Delivered,2023-10-02 00:18:14,"34495 Nicholas Stream
North Erica, SD 43423"
